Gene,M-4
ENSMUSG00000051951,0
ENSMUSG00000089699,0
ENSMUSG00000102331,0
ENSMUSG00000102343,0
ENSMUSG00000025900,0
ENSMUSG00000025902,0
ENSMUSG00000104238,0
ENSMUSG00000104328,0
ENSMUSG00000033845,1481
ENSMUSG00000025903,1641
ENSMUSG00000033813,3095
ENSMUSG00000002459,0
ENSMUSG00000085623,0
ENSMUSG00000033793,1885
ENSMUSG00000025905,0
ENSMUSG00000033774,0
ENSMUSG00000025907,450
ENSMUSG00000090031,19
ENSMUSG00000087247,0
ENSMUSG00000033740,0
ENSMUSG00000051285,892
ENSMUSG00000097797,4
ENSMUSG00000103067,0
ENSMUSG00000025909,0
ENSMUSG00000061024,1980
ENSMUSG00000025911,325
ENSMUSG00000079671,76
ENSMUSG00000067879,10
ENSMUSG00000099827,0
ENSMUSG00000025912,172
ENSMUSG00000045210,973
ENSMUSG00000097893,6
ENSMUSG00000025915,642
ENSMUSG00000046101,6
ENSMUSG00000098234,457
ENSMUSG00000099032,3
ENSMUSG00000025916,0
ENSMUSG00000087199,0
ENSMUSG00000025917,2057
ENSMUSG00000056763,802
ENSMUSG00000067851,2896
ENSMUSG00000042501,1
ENSMUSG00000048960,777
ENSMUSG00000057715,2
ENSMUSG00000097171,0
ENSMUSG00000101314,0
ENSMUSG00000016918,1
ENSMUSG00000025938,0
ENSMUSG00000099498,0
ENSMUSG00000042414,0
ENSMUSG00000005886,1666
ENSMUSG00000101476,0
ENSMUSG00000025935,3379
ENSMUSG00000025937,1289
ENSMUSG00000067813,4
ENSMUSG00000025932,912
ENSMUSG00000054493,0
ENSMUSG00000025930,0
ENSMUSG00000032769,0
ENSMUSG00000092083,0
ENSMUSG00000025925,424
ENSMUSG00000032719,3
ENSMUSG00000067795,2
ENSMUSG00000043716,15336
ENSMUSG00000025921,99
ENSMUSG00000100868,0
ENSMUSG00000025920,421
ENSMUSG00000089982,0
ENSMUSG00000025939,571
ENSMUSG00000079658,1950
ENSMUSG00000097744,1
ENSMUSG00000025940,1094
ENSMUSG00000025779,80
ENSMUSG00000101640,0
ENSMUSG00000042686,0
ENSMUSG00000100110,0
ENSMUSG00000025777,0
ENSMUSG00000099899,0
ENSMUSG00000067780,0
ENSMUSG00000100053,0
ENSMUSG00000085125,0
ENSMUSG00000025776,0
ENSMUSG00000099895,0
ENSMUSG00000109887,0
ENSMUSG00000025774,0
ENSMUSG00000073735,0
ENSMUSG00000067773,0
ENSMUSG00000089787,0
ENSMUSG00000042596,0
ENSMUSG00000025927,7
