Gene,M-5
ENSMUSG00000051951,0
ENSMUSG00000089699,0
ENSMUSG00000102331,0
ENSMUSG00000102343,0
ENSMUSG00000025900,0
ENSMUSG00000025902,0
ENSMUSG00000104238,0
ENSMUSG00000104328,0
ENSMUSG00000033845,1773
ENSMUSG00000025903,1812
ENSMUSG00000033813,3692
ENSMUSG00000002459,1
ENSMUSG00000085623,0
ENSMUSG00000033793,2292
ENSMUSG00000025905,0
ENSMUSG00000033774,0
ENSMUSG00000025907,512
ENSMUSG00000090031,22
ENSMUSG00000087247,0
ENSMUSG00000033740,0
ENSMUSG00000051285,918
ENSMUSG00000097797,12
ENSMUSG00000103067,0
ENSMUSG00000025909,0
ENSMUSG00000061024,2142
ENSMUSG00000025911,368
ENSMUSG00000079671,68
ENSMUSG00000067879,17
ENSMUSG00000099827,0
ENSMUSG00000025912,245
ENSMUSG00000045210,1063
ENSMUSG00000097893,5
ENSMUSG00000025915,696
ENSMUSG00000046101,4
ENSMUSG00000098234,498
ENSMUSG00000099032,5
ENSMUSG00000025916,0
ENSMUSG00000087199,1
ENSMUSG00000025917,2386
ENSMUSG00000056763,888
ENSMUSG00000067851,3000
ENSMUSG00000042501,3
ENSMUSG00000048960,851
ENSMUSG00000057715,0
ENSMUSG00000097171,0
ENSMUSG00000101314,0
ENSMUSG00000016918,0
ENSMUSG00000025938,0
ENSMUSG00000099498,0
ENSMUSG00000042414,0
ENSMUSG00000005886,1851
ENSMUSG00000101476,0
ENSMUSG00000025935,3746
ENSMUSG00000025937,1435
ENSMUSG00000067813,1
ENSMUSG00000025932,1021
ENSMUSG00000054493,0
ENSMUSG00000025930,0
ENSMUSG00000032769,0
ENSMUSG00000092083,0
ENSMUSG00000025925,489
ENSMUSG00000032719,1
ENSMUSG00000067795,2
ENSMUSG00000043716,17069
ENSMUSG00000025921,104
ENSMUSG00000100868,0
ENSMUSG00000025920,598
ENSMUSG00000089982,0
ENSMUSG00000025939,637
ENSMUSG00000079658,2250
ENSMUSG00000097744,1
ENSMUSG00000025940,1293
ENSMUSG00000025779,93
ENSMUSG00000101640,0
ENSMUSG00000042686,0
ENSMUSG00000100110,0
ENSMUSG00000025777,0
ENSMUSG00000099899,0
ENSMUSG00000067780,0
ENSMUSG00000100053,0
ENSMUSG00000085125,0
ENSMUSG00000025776,1
ENSMUSG00000099895,0
ENSMUSG00000109887,0
ENSMUSG00000025774,0
ENSMUSG00000073735,0
ENSMUSG00000067773,0
ENSMUSG00000089787,0
ENSMUSG00000042596,0
ENSMUSG00000025927,3
