Gene,HE-6
ENSMUSG00000051951,0
ENSMUSG00000089699,0
ENSMUSG00000102331,0
ENSMUSG00000102343,0
ENSMUSG00000025900,0
ENSMUSG00000025902,0
ENSMUSG00000104238,0
ENSMUSG00000104328,0
ENSMUSG00000033845,1783
ENSMUSG00000025903,1868
ENSMUSG00000033813,3751
ENSMUSG00000002459,1
ENSMUSG00000085623,0
ENSMUSG00000033793,2479
ENSMUSG00000025905,0
ENSMUSG00000033774,0
ENSMUSG00000025907,617
ENSMUSG00000090031,18
ENSMUSG00000087247,0
ENSMUSG00000033740,0
ENSMUSG00000051285,867
ENSMUSG00000097797,11
ENSMUSG00000103067,0
ENSMUSG00000025909,0
ENSMUSG00000061024,2219
ENSMUSG00000025911,216
ENSMUSG00000079671,82
ENSMUSG00000067879,9
ENSMUSG00000099827,0
ENSMUSG00000025912,263
ENSMUSG00000045210,1252
ENSMUSG00000097893,3
ENSMUSG00000025915,698
ENSMUSG00000046101,1
ENSMUSG00000098234,608
ENSMUSG00000099032,1
ENSMUSG00000025916,0
ENSMUSG00000087199,0
ENSMUSG00000025917,2576
ENSMUSG00000056763,949
ENSMUSG00000067851,3313
ENSMUSG00000042501,0
ENSMUSG00000048960,1484
ENSMUSG00000057715,1
ENSMUSG00000097171,0
ENSMUSG00000101314,0
ENSMUSG00000016918,0
ENSMUSG00000025938,0
ENSMUSG00000099498,0
ENSMUSG00000042414,0
ENSMUSG00000005886,1989
ENSMUSG00000101476,3
ENSMUSG00000025935,3663
ENSMUSG00000025937,1458
ENSMUSG00000067813,0
ENSMUSG00000025932,883
ENSMUSG00000054493,0
ENSMUSG00000025930,0
ENSMUSG00000032769,0
ENSMUSG00000092083,0
ENSMUSG00000025925,484
ENSMUSG00000032719,3
ENSMUSG00000067795,0
ENSMUSG00000043716,18436
ENSMUSG00000025921,143
ENSMUSG00000100868,1
ENSMUSG00000025920,401
ENSMUSG00000089982,0
ENSMUSG00000025939,628
ENSMUSG00000079658,2567
ENSMUSG00000097744,1
ENSMUSG00000025940,1397
ENSMUSG00000025779,133
ENSMUSG00000101640,1
ENSMUSG00000042686,0
ENSMUSG00000100110,0
ENSMUSG00000025777,0
ENSMUSG00000099899,0
ENSMUSG00000067780,0
ENSMUSG00000100053,0
ENSMUSG00000085125,0
ENSMUSG00000025776,0
ENSMUSG00000099895,0
ENSMUSG00000109887,0
ENSMUSG00000025774,0
ENSMUSG00000073735,0
ENSMUSG00000067773,0
ENSMUSG00000089787,0
ENSMUSG00000042596,0
ENSMUSG00000025927,3
